ID,Name,Summary,Main Domain
9463,Rework API Docs Homepage to List Available Services...(Split),Rework the home page of the doc site to include a list of (and direct access to) the API services,Documentation
9556,Security: Kernel Bug (CVE-2014-3153),"As a system administrator, I want to upgrade our server's operating system (kernel component) to address the risk of our systems being compromised (12.04 systems only)",
9387,Track TCP connection drops on client,"The background app feature of IOS allows the app to wake up every 10 minutes. At that time, our application will re-register.",
9552,TurboBridge call quality issues,"We are seeing call quality issues with TB but are unsure of their source. They have been observed when calling TB directly via PSTN as well, but we would like to (1) rule our network out as the cause (2) work with them to address it",
9353,Update communication strategy,The current communication strategy on the marketing website and via marketing emails is based on a 300 min/30 day trial w/ opt-in conversion. The web site and emails will likely need to be updated to reflect the new model.,
9362,Validate that BI can generate reports that differentiate between customers that used a CC and those who didn't,Validation of user story 9361.,
9306,Add support for inbound UK SMS,,
9308,Add support for other destinations supported by Voxbone,,
9307,Add support for outbound UK SMS,,
9464,API Test environment hand-off...(Split),,
9461,Archive call log documents older than 13 months documents...(Split),,
9422,Billing,,
9369,Community site update,,
9404,Coordinate with marketing for VoIP feature release,,
9402,Create Flurry events for new VoIP features,,
9380,Create service catalog,,
9360,Credit of up to $9.99 during checkout,,
9403,CSR training for VoIP feature,,
9431,Data Pull: International DIDs and MOU for outbound calls only,,
9359,Demo page for Centzy,,
9302,"Dev MDB, Update/refactor /opt/scripts/rotate_dbs.pl to help prevent dev downtime",,
9595,Estimate equipment value for insurance,,
9321,Feedback cycle and release,,
9375,Functional review,,
9391,GnuTLS upgrade (new security flaw),,
9484,Incident reviews...(Language),,
9377,Integration tests (regression),,
9366,Kamailio production server,,
9429,Keep Customer Address History,,
9465,Limit number of voice calls that the API system can generate...(Split),,
9411,Long term capacity of Kamailio Proxy,,
9513,Mailchimp adjustements,,
9471,Mobile - investigate/implement better way of caller ID selection than spinner,,
9424,Move trunk traffic off Asterisk,,
9352,Notify user that free usage is about to end,,
9427,OpenSSL security fixes (again),,
9351,Opt-out strategy,,
9421,"Outbound trunk (VOIP implementation, auth, caller ID)",,
9454,PCI compliance scan failed on 6/6/14,,
9512,Prevent SMS in / out,,
9511,Prevent voice calls in / out,,
9260,Refine UI for VoIP calls,,
9410,Release Voxbone/WebRTC test,,
9350,Require credit card during account creation,,
9516,Research Lync trunk monitoring,,
9291,Retry logic when an API voice call is denied,,
9376,Security Scan for Community site,,
9378,Security testing (regression),,
9423,Service monitoring,,
9444,smsgw1&2 disk upgrade,,
9443,smsgw1&2 RAM upgrade,,
9430,Standard Report: RPU for Marketing,,
9425,Support Spectrio 3rd party integration,,
9557,Tax system changes,,
9379,Test and document release process,,
9489,Test environment for SIP/TCP Kamailio environment,,
9396,Trigger humans.pl script automatically,,
